0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:42 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:43 +0800] "GET /dsgqxxw/queryIdUserAction?enteruserid=&searchuser=%E6%9F%A5%E8%AF%A2 HTTP/1.1" 200 5238
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:45 +0800] "GET /dsgqxxw/JSP/admin_modify_user.jsp?&userid=5&username= HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:47 +0800] "GET /dsgqxxw/queryIdUserAction?enteruserid=&searchuser=%E6%9F%A5%E8%AF%A2 HTTP/1.1" 200 5238
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:15:49 +0800] "GET /dsgqxxw/JSP/admin_modify_user.jsp?&userid=3&username=fs HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:49 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:49 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:49 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:49 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:49 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:49 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:49 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:50 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:50 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:50 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:16:50 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
